date,# repo creted
20110101,11
20110102,9
20110103,17
20110104,17
20110105,28
20110106,23
20110107,23
20110108,10
20110109,22
20110110,25
20110111,19
20110112,26
20110113,21
20110114,38
20110115,20
20110116,23
20110117,35
20110118,17
20110119,21
20110120,18
20110121,39
20110122,17
20110123,18
20110124,16
20110125,23
20110126,14
20110127,22
20110128,21
20110129,17
20110130,27
20110131,23
20110201,21
20110202,25
20110203,23
20110204,23
20110205,18
20110206,21
20110207,19
20110208,26
20110209,22
20110210,33
20110211,24
20110212,19
20110213,30
20110214,23
20110215,26
20110216,29
20110217,26
20110218,16
20110219,15
20110220,26
20110221,12
20110222,24
20110223,31
20110224,21
20110225,26
20110226,25
20110227,25
20110228,32
20110301,19
20110302,20
20110303,35
20110304,27
20110305,24
20110306,20
20110307,38
20110308,18
20110309,49
20110310,32
20110311,33
20110312,24
20110313,18
20110314,25
20110315,26
20110316,21
20110317,32
20110318,15
20110319,34
20110320,24
20110321,28
20110322,22
20110323,51
20110324,25
20110325,27
20110326,28
20110327,23
20110328,23
20110329,32
20110330,21
20110331,35
20110401,33
20110402,21
20110403,23
20110404,26
20110405,35
20110406,22
20110407,26
20110408,39
20110409,23
20110410,29
20110411,27
20110412,26
20110413,29
20110414,28
20110415,27
20110416,27
20110417,18
20110418,23
20110419,26
20110420,36
20110421,30
20110422,24
20110423,18
20110424,20
20110425,25
20110426,27
20110427,37
20110428,27
20110429,25
20110430,18
20110501,14
20110502,24
20110503,17
20110504,42
20110505,23
20110506,28
20110507,31
20110508,19
20110509,24
20110510,38
20110511,25
20110512,29
20110513,33
20110514,22
20110515,25
20110516,32
20110517,29
20110518,36
20110519,29
20110520,36
20110521,32
20110522,30
20110523,28
20110524,29
20110525,29
20110526,26
20110527,24
20110528,21
20110529,22
20110530,27
20110531,32
20110601,30
20110602,29
20110603,28
20110604,24
20110605,25
20110606,22
20110607,32
20110608,32
20110609,25
20110610,26
20110611,20
20110612,34
20110613,27
20110614,42
20110615,44
20110616,25
20110617,24
20110618,40
20110619,17
20110620,28
20110621,28
20110622,38
20110623,49
20110624,32
20110625,16
20110626,19
20110627,26
20110628,41
20110629,34
20110630,32
20110701,23
20110702,23
20110703,26
20110704,33
20110705,25
20110706,32
20110707,32
20110708,34
20110709,17
20110710,25
20110711,33
20110712,31
20110713,48
20110714,28
20110715,31
20110716,24
20110717,32
20110718,40
20110719,32
20110720,30
20110721,29
20110722,27
20110723,22
20110724,34
20110725,31
20110726,17
20110727,43
20110728,21
20110729,37
20110730,27
20110731,40
20110801,51
20110802,27
20110803,29
20110804,32
20110805,26
20110806,29
20110807,40
20110808,45
20110809,22
20110810,34
20110811,29
20110812,36
20110813,28
20110814,31
20110815,39
20110816,45
20110817,34
20110818,34
20110819,52
20110820,11
20110821,40
20110822,36
20110823,25
20110824,32
20110825,35
20110826,26
20110827,23
20110828,23
20110829,31
20110830,46
20110831,32
20110901,39
20110902,29
20110903,25
20110904,22
20110905,36
20110906,34
20110907,39
20110908,45
20110909,35
20110910,29
20110911,30
20110912,42
20110913,35
20110914,118
20110915,43
20110916,28
20110917,35
20110918,42
20110919,45
20110920,43
20110921,45
20110922,43
20110923,25
20110924,28
20110925,28
20110926,47
20110927,42
20110928,32
20110929,41
20110930,47
20111001,28
20111002,21
20111003,30
20111004,42
20111005,45
20111006,28
20111007,25
20111008,51
20111009,40
20111010,48
20111011,52
20111012,37
20111013,40
20111014,35
20111015,41
20111016,42
20111017,40
20111018,41
20111019,43
20111020,33
20111021,37
20111022,26
20111023,26
20111024,34
20111025,43
20111026,39
20111027,38
20111028,32
20111029,37
20111030,24
20111031,37
20111101,32
20111102,43
20111103,42
20111104,34
20111105,36
20111106,37
20111107,38
20111108,52
20111109,60
20111110,37
20111111,68
20111112,26
20111113,32
20111114,30
20111115,62
20111116,42
20111117,36
20111118,52
20111119,37
20111120,33
20111121,56
20111122,57
20111123,42
20111124,52
20111125,31
20111126,37
20111127,37
20111128,62
20111129,60
20111130,62
20111201,49
20111202,48
20111203,48
20111204,37
20111205,38
20111206,34
20111207,38
20111208,36
20111209,36
20111210,39
20111211,45
20111212,49
20111213,39
20111214,40
20111215,36
20111216,66
20111217,24
20111218,53
20111219,52
20111220,38
20111221,52
20111222,41
20111223,41
20111224,35
20111225,20
20111226,30
20111227,34
20111228,59
20111229,39
20111230,37
20111231,32
20120101,35
20120102,35
20120103,35
20120104,42
20120105,52
20120106,41
20120107,29
20120108,57
20120109,44
20120110,61
20120111,57
20120112,51
20120113,56
20120114,59
20120115,42
20120116,46
20120117,54
20120118,58
20120119,52
20120120,58
20120121,44
20120122,46
20120123,49
20120124,71
20120125,55
20120126,46
20120127,54
20120128,53
20120129,58
20120130,55
20120131,73
20120201,56
20120202,68
20120203,80
20120204,59
20120205,62
20120206,49
20120207,102
20120208,63
20120209,70
20120210,58
20120211,62
20120212,53
20120213,66
20120214,77
20120215,62
20120216,62
20120217,70
20120218,86
20120219,64
20120220,54
20120221,69
20120222,77
20120223,60
20120224,59
20120225,51
20120226,60
20120227,68
20120228,78
20120229,79
20120301,86
20120302,47
20120303,56
20120304,55
20120305,55
20120306,80
20120307,71
20120308,67
20120309,81
20120310,56
20120311,65
20120312,66
20120313,70
20120314,67
20120315,48
20120316,57
20120317,53
20120318,61
20120319,67
20120320,76
20120321,69
20120322,58
20120323,86
20120324,50
20120325,58
20120326,56
20120327,76
20120328,90
20120329,72
20120330,54
20120331,59
20120401,71
20120402,77
20120403,46
20120404,83
20120405,98
20120406,80
20120407,44
20120408,46
20120409,80
20120410,83
20120411,135
20120412,69
20120413,90
20120414,63
20120415,76
20120416,79
20120417,82
20120418,75
20120419,76
20120420,67
20120421,58
20120422,69
20120423,70
20120424,76
20120425,70
20120426,75
20120427,68
20120428,143
20120429,189
20120430,65
20120501,88
20120502,99
20120503,78
20120504,63
20120505,59
20120506,79
20120507,80
20120508,70
20120509,69
20120510,76
20120511,80
20120512,67
20120513,77
20120514,62
20120515,80
20120516,77
20120517,70
20120518,48
20120519,48
20120520,53
20120521,71
20120522,69
20120523,72
20120524,83
20120525,54
20120526,37
20120527,61
20120528,79
20120529,85
20120530,66
20120531,68
20120601,70
20120602,56
20120603,54
20120604,73
20120605,91
20120606,67
20120607,75
20120608,71
20120609,49
20120610,62
20120611,78
20120612,78
20120613,315
20120614,62
20120615,81
20120616,47
20120617,59
20120618,56
20120619,67
20120620,78
20120621,78
20120622,79
20120623,66
20120624,58
20120625,71
20120626,73
20120627,66
20120628,62
20120629,65
20120630,58
20120701,51
20120702,76
20120703,65
20120704,74
20120705,69
20120706,93
20120707,63
20120708,66
20120709,64
20120710,208
20120711,120
20120712,96
20120713,207
20120714,74
20120715,93
20120716,106
20120717,99
20120718,98
20120719,98
20120720,79
20120721,88
20120722,72
20120723,69
20120724,82
20120725,73
20120726,83
20120727,82
20120728,75
20120729,65
20120730,89
20120731,98
20120801,80
20120802,75
20120803,70
20120804,57
20120805,75
20120806,90
20120807,97
20120808,132
20120809,100
20120810,72
20120811,81
20120812,72
20120813,108
20120814,98
20120815,84
20120816,100
20120817,87
20120818,62
20120819,74
20120820,98
20120821,93
20120822,88
20120823,84
20120824,88
20120825,61
20120826,77
20120827,115
20120828,91
20120829,87
20120830,93
20120831,77
20120901,68
20120902,63
20120903,77
20120904,97
20120905,81
20120906,112
20120907,87
20120908,69
20120909,72
20120910,89
20120911,106
20120912,111
20120913,111
20120914,81
20120915,81
20120916,88
20120917,92
20120918,100
20120919,137
20120920,85
20120921,123
20120922,66
20120923,72
20120924,99
20120925,85
20120926,87
20120927,110
20120928,87
20120929,57
20120930,78
20121001,81
20121002,85
20121003,117
20121004,78
20121005,85
20121006,77
20121007,74
20121008,112
20121009,117
20121010,91
20121011,121
20121012,88
20121013,80
20121014,62
20121015,99
20121016,84
20121017,116
20121018,88
20121019,91
20121020,78
20121021,78
20121022,120
20121023,124
20121024,131
20121025,105
20121026,79
20121027,89
20121028,64
20121029,107
20121030,112
20121031,90
20121101,121
20121102,110
20121103,87
20121104,74
20121105,111
20121106,132
20121107,92
20121108,127
20121109,89
20121110,101
20121111,110
20121112,127
20121113,108
20121114,127
20121115,113
20121116,120
20121117,117
20121118,98
20121119,149
20121120,114
20121121,111
20121122,108
20121123,92
20121124,83
20121125,86
20121126,118
20121127,117
20121128,124
20121129,116
20121130,137
20121201,87
20121202,85
20121203,132
20121204,117
20121205,109
20121206,122
20121207,115
20121208,73
20121209,96
20121210,97
20121211,102
20121212,121
20121213,92
20121214,89
20121215,73
20121216,82
20121217,109
20121218,112
20121219,128
20121220,120
20121221,106
20121222,84
20121223,89
20121224,69
20121225,77
20121226,84
20121227,105
20121228,122
20121229,81
20121230,87
20121231,110
20130101,68
20130102,108
20130103,95
20130104,151
20130105,109
20130106,113
20130107,107
20130108,127
20130109,147
20130110,113
