watchers,forks
0,0
28,12
8,4
4,0
1,2
1,0
39,7
1,0
7,2
1,0
1,0
3,0
45,69
4,5
4,1
83,24
0,0
1,0
2,0
2,0
1,0
1,0
1,0
1,0
9,6
5,6
24,17
3,0
3,2
1,0
1,0
3,1
4,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
4,2
8,3
89,27
1,0
64,54
1,0
2,0
2,0
0,0
2,0
51,23
1,0
2,4
1,0
3,3
2,0
1,0
30,21
6,7
5,9
4,7
6,3
2,3
2,0
5,0
2,0
2,0
4,1
1,0
1,0
2,0
1,0
1,0
1,0
0,0
2,0
2,0
239,96
1,0
2,0
4,2
1,0
1,0
2,0
2,0
20,6
6,5
33,2
3,6
4,3
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
6,1
1,0
0,0
1,0
1,0
1,0
2,2
4,1
1,0
1,0
23,11
13,8
16,4
20,1
2,2
3,1
5,5
2,0
2,0
2,0
4,0
2,0
5,2
2,0
1,0
1,0
1,0
1,0
3,1
99,57
2,0
1,0
16,3
9,4
8,1
17,0
4,2
2,0
1,0
1,0
1,0
1,0
1,0
2203,1014
1,0
6,15
21,7
5,5
31,10
4,4
5,5
4,4
13,5
2,1
1,2
1,0
1,1
1,0
1,0
450,79
1,0
1,0
42,26
1,0
2,0
12,4
7,5
4,21
3,2
1,3
5,2
2,0
1,0
1,1
1,0
1,0
1,0
24,13
1,0
2,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
40,33
1,1
2,0
7,14
79,56
7,1
4,0
2,1
2,0
1,0
3,1
2,0
1,0
1,0
3,1
1,0
0,0
0,0
71,31
1,0
302,76
13,8
5,10
6,0
6,1
2,3
8,1
3,2
2,0
4,1
6,6
1,0
1,0
2,2
4,1
1,0
1,0
1,1
2,1
1,0
16,9
1,0
184,19
2,1
2,0
1,0
2,2
1,0
1,0
1,0
11,6
8,3
6,5
10,2
2,3
1,0
1,0
4,0
1,0
5,0
3,0
1,0
2,0
1,0
33,6
1,0
1,0
2,0
18,46
1,0
19,57
48,25
4,6
5,5
2,3
1,8
2,4
2,4
1,3
2,2
